"","state","trump","discrim"
"1","AK",0.51,0.285714285714286
"2","AL",0.62,0.540540540540541
"3","AR",0.61,0.555555555555556
"4","AZ",0.49,0.416666666666667
"5","CA",0.32,0.514705882352941
"6","CO",0.43,0.470588235294118
"7","CT",0.41,0.48
"8","DC",0.04,0.9
"9","DE",0.42,0.8
"10","FL",0.49,0.435897435897436
"11","GA",0.51,0.372093023255814
"12","HI",0.3,0.625
"13","IA",0.51,0.413793103448276
"14","ID",0.59,0.384615384615385
"15","IL",0.39,0.333333333333333
"16","IN",0.57,0.520833333333333
"17","KS",0.57,0.55
"18","KY",0.63,0.44
"19","LA",0.58,0.318181818181818
"20","MA",0.33,0.567567567567568
"21","MD",0.34,0.5
"22","ME",0.45,0.380952380952381
"23","MI",0.48,0.5
"24","MN",0.45,0.365853658536585
"25","MO",0.57,0.441860465116279
"26","MS",0.58,0.666666666666667
"27","MT",0.56,0.6
"28","NC",0.5,0.434210526315789
"29","ND",0.63,0.125
"30","NE",0.59,0.368421052631579
"31","NH",0.47,0.857142857142857
"32","NJ",0.41,0.520833333333333
"33","NM",0.4,0.444444444444444
"34","NV",0.46,0.375
"35","NY",0.37,0.592592592592593
"36","OH",0.52,0.5
"37","OK",0.65,0.28125
"38","OR",0.39,0.55
"39","PA",0.49,0.435294117647059
"40","RI",0.39,0.666666666666667
"41","SC",0.55,0.5
"42","SD",0.62,0.461538461538462
"43","TN",0.61,0.51063829787234
"44","TX",0.52,0.514492753623188
"45","UT",0.46,0.375
"46","VA",0.44,0.508771929824561
"47","VT",0.3,0.444444444444444
"48","WA",0.36,0.488372093023256
"49","WI",0.47,0.527777777777778
"50","WV",0.69,0.428571428571429
"51","WY",0.68,0.5
